ACCNUM,ObjectId,INVTYPE,INVAGE,INJURY,VEHTYPE,MANOEUVER,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,HOUR,TIME,VISIBILITY,LIGHT,collision_lat,collision_long
1286941,8745,Pedestrian,45 to 49,Fatal,Other,NULL,1,0,1,0,0,0,0,0,0,0,0,0,0,6,555,Clear,"Dawn, artificial",-79.5123,43.7582
1287084,8444,Driver,15 to 19,Minimal,"Automobile, Station Wagon",Going Ahead,0,0,1,0,0,0,0,1,1,1,0,1,0,2,230,Clear,Dark,-79.3935,43.7169
1287084,8238,Passenger,20 to 24,Fatal,Other,NULL,0,0,1,0,0,0,0,1,1,1,0,1,0,2,230,Clear,Dark,-79.3935,43.7169
1288002,7316,Driver,75 to 79,None,"Automobile, Station Wagon",Turning Right,1,0,1,0,0,0,0,0,0,1,0,0,0,18,1820,Clear,"Dark, artificial",-79.3277,43.7273
1288002,7317,Pedestrian,35 to 39,Major,Other,NULL,1,0,1,0,0,0,0,0,0,1,0,0,0,18,1820,Clear,"Dark, artificial",-79.3277,43.7273
1288652,7641,Driver,65 to 69,Major,"Automobile, Station Wagon",Going Ahead,0,0,1,0,0,0,0,0,0,1,0,0,0,14,1438,Clear,Daylight,-79.387,43.7282
1288652,7535,Driver,65 to 69,Minimal,"Automobile, Station Wagon",Slowing or Stopping,0,0,1,0,0,0,0,0,0,1,0,0,0,14,1438,Clear,Daylight,-79.387,43.7282
1288652,7546,Driver,60 to 64,None,"Automobile, Station Wagon",Slowing or Stopping,0,0,1,0,0,0,0,0,0,1,0,0,0,14,1438,Clear,Daylight,-79.387,43.7282
1289088,8946,Motorcycle Driver,15 to 19,Major,Motorcycle,Changing Lanes,0,0,1,1,0,0,0,0,0,1,0,0,0,18,1752,Clear,Daylight,-79.3171,43.7766
1289088,8947,Driver,35 to 39,None,"Automobile, Station Wagon",Going Ahead,0,0,1,1,0,0,0,0,0,1,0,0,0,18,1752,Clear,Daylight,-79.3171,43.7766
1289649,7701,Driver,25 to 29,None,"Automobile, Station Wagon",Going Ahead,0,0,1,0,0,0,0,0,0,0,0,1,0,5,515,Snow,Dark,-79.5643,43.735
1289649,7702,Driver,25 to 29,Major,"Automobile, Station Wagon",Going Ahead,0,0,1,0,0,0,0,0,0,0,0,1,0,5,515,Snow,Dark,-79.5643,43.735
1289974,8953,Driver,50 to 54,Fatal,"Automobile, Station Wagon",Going Ahead,0,0,1,0,0,0,0,0,0,0,0,0,0,12,1203,Clear,Daylight,-79.1992,43.8007
