ACCNUM,YEAR,DATE,TIME,HOUR,STREET1,STREET2,OFFSET,ROAD_CLASS,DISTRICT,WARDNUM,DIVISION,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,POLICE_DIVISION,HOOD_ID,NEIGHBOURHOOD,geometry
1376894,2013,00:00.0,1627,16,CHURCH ST,HAYDEN ST,NULL,3,Toronto and East York,11,51,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D51,75,Church-Yonge Corridor (75),"{'type': 'Point', 'coordinates': (-79.3828, 43.670149)}"
1376926,2013,00:00.0,1758,17,244 CALEDONIA Rd,NULL,NULL,3,Toronto and East York,9,13,Mid-Block,NULL,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D13,109,Caledonia-Fairbank (109),"{'type': 'Point', 'coordinates': (-79.457691, 43.682246)}"
1366122,2013,00:00.0,1939,19,BROADVIEW Ave,DANFORTH Ave,NULL,3,Toronto and East York,14,54,Mid-Block,NULL,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D54,67,Playter Estates-Danforth (67),"{'type': 'Point', 'coordinates': (-79.35889, 43.676545)}"
1365311,2013,00:00.0,1959,19,WILSON HEIGHTS BLVD,WATERLOO AVE,NULL,2,North York,6,32,Intersection,At Intersection,Traffic Signal,Clear,Dusk,Dry,Non-Fatal Injury,Pedestrian Collisions,D32,34,Bathurst Manor (34),"{'type': 'Point', 'coordinates': (-79.45989, 43.755345)}"
1366152,2013,00:00.0,2225,22,WATSON ST,OLD KINGSTON RD,NULL,3,Scarborough,25,43,Intersection,At Intersection,No Control,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,D43,133,Centennial Scarborough (133),"{'type': 'Point', 'coordinates': (-79.172488, 43.782145)}"
1377196,2013,00:00.0,2240,22,DUFFERIN St,HOLMESDALE Rd,NULL,1,Toronto and East York,NULL,13,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,D13,107,Oakwood Village (107),"{'type': 'Point', 'coordinates': (-79.44736, 43.688601)}"
1377456,2013,00:00.0,1355,13,KENNEDY RD,MCNICOLL Ave,NULL,1,Scarborough,22,42,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,D42,130,Milliken (130),"{'type': 'Point', 'coordinates': (-79.301936, 43.812129)}"
1365621,2013,00:00.0,1845,18,FINCH AVE E,MIDLAND AVE,NULL,1,Scarborough,NULL,42,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D42,129,Agincourt North (129),"{'type': 'Point', 'coordinates': (-79.28629, 43.803745)}"
1382978,2013,00:00.0,1153,11,KENNEDY RD,KENMARK BLVD,NULL,1,Scarborough,20,41,Intersection,NULL,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D41,124,Kennedy Park (124),"{'type': 'Point', 'coordinates': (-79.266986, 43.729945)}"
1379135,2013,00:00.0,2124,21,CHRISTIE St,DAVENPORT Rd,NULL,3,Toronto and East York,12,13,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,D13,94,Wychwood (94),"{'type': 'Point', 'coordinates': (-79.423084, 43.675551)}"
1366764,2013,00:00.0,1850,18,185 FALLINGBROOK RD,NULL,NULL,2,Scarborough,20,41,Intersection,NULL,No Control,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,D41,122,Birchcliffe-Cliffside (122),"{'type': 'Point', 'coordinates': (-79.280292, 43.684645)}"
1378518,2013,00:00.0,2217,22,DUFFERIN St,MARTIN ROSS Ave,NULL,1,North York,6,32,Intersection,NULL,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Approaching,D32,34,Bathurst Manor (34),"{'type': 'Point', 'coordinates': (-79.468326, 43.775248)}"
1328909,2012,00:00.0,125,1,WARDEN AVE,TOWER DR,NULL,1,Scarborough,21,41,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Rear End,D41,119,Wexford/Maryvale (119),"{'type': 'Point', 'coordinates': (-79.29839, 43.754345)}"
1379372,2013,00:00.0,1240,12,DUFFERIN ST,JOE SHUSTER  WAY,NULL,3,Toronto and East York,NULL,14,Intersection,NULL,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D14,85,South Parkdale (85),"{'type': 'Point', 'coordinates': (-79.428363, 43.641524)}"
1379915,2013,00:00.0,1831,18,PARLIAMENT ST,COLE  ST,NULL,3,Toronto and East York,13,51,Intersection,NULL,No Control,Rain,Daylight,Wet,Non-Fatal Injury,SMV Other,D51,72,Regent Park (72),"{'type': 'Point', 'coordinates': (-79.36629, 43.660145)}"
1367518,2013,00:00.0,1519,15,KIPLING AVE,JUTLAND RD,NULL,1,Etobicoke York,3,22,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Fatal,Turning Movement,D22,14,Islington-City Centre West (14),"{'type': 'Point', 'coordinates': (-79.52879, 43.626245)}"
1354807,2013,00:00.0,1600,16,CRAWFORD ST,QUEEN ST W,NULL,1,Toronto and East York,10,14,Intersection,At Intersection,Stop Sign,Rain,Daylight,Wet,Non-Fatal Injury,Turning Movement,D14,82,Niagara (82),"{'type': 'Point', 'coordinates': (-79.41509, 43.644945)}"
1336078,2013,00:00.0,1529,15,WARDEN AVE,HYMUS RD,NULL,1,Scarborough,20,41,Intersection,NULL,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Approaching,D41,120,Clairlea-Birchmount (120),"{'type': 'Point', 'coordinates': (-79.28419, 43.719545)}"
1355516,2013,00:00.0,1845,18,YORKLAND Blvd,CONSUMERS Rd,NULL,3,North York,17,33,Mid-Block,NULL,No Control,Clear,Daylight,Wet,Non-Fatal Injury,SMV Other,D33,53,Henry Farm (53),"{'type': 'Point', 'coordinates': (-79.33609, 43.77294500000001)}"
1351471,2013,00:00.0,2056,20,JANE ST,STONG CRT,NULL,1,Etobicoke York,7,31,Mid-Block,NULL,No Control,Rain,"Dark, artificial",Wet,Fatal,Pedestrian Collisions,D31,24,Black Creek (24),"{'type': 'Point', 'coordinates': (-79.518886, 43.762446)}"
1351458,2013,00:00.0,2110,21,STEELES Ave E,BIRCHMOUNT Rd,NULL,1,Scarborough,22,42,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Wet,Non-Fatal Injury,Cyclist Collisions,D42,116,Steeles (116),"{'type': 'Point', 'coordinates': (-79.31689, 43.821345)}"
1351710,2013,00:00.0,1130,11,THE QUEENSWAY,PARK LAWN Rd,NULL,1,Etobicoke York,3,22,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D22,16,Stonegate-Queensway (16),"{'type': 'Point', 'coordinates': (-79.49039, 43.629045)}"
1351606,2013,00:00.0,1846,18,KENNEDY RD,401 C E KENNEDY RAMP RD E,NULL,1,Scarborough,21,41,Intersection,At Intersection,Traffic Signal,Clear,Dusk,Dry,Fatal,Cyclist Collisions,D41,126,Dorset Park (126),"{'type': 'Point', 'coordinates': (-79.283893, 43.773146)}"
1351876,2013,00:00.0,1450,14,AVENUE RD,FAIRLAWN AVE,NULL,1,North York,8,32,Intersection,NULL,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,D32,39,Bedford Park-Nortown (39),"{'type': 'Point', 'coordinates': (-79.417888, 43.72784300000001)}"
1355579,2013,00:00.0,1630,16,LAWRENCE Ave W,BROOKHAVEN Dr,NULL,1,Etobicoke York,5,12,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D12,30,Brookhaven-Amesbury (30),"{'type': 'Point', 'coordinates': (-79.49669, 43.704345)}"
1356335,2013,00:00.0,1726,17,GLENMOUNT PARK Rd,BURGESS Ave,NULL,4,Toronto and East York,19,55,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D55,62,East End-Danforth (62),"{'type': 'Point', 'coordinates': (-79.30459, 43.679245)}"
1357350,2013,00:00.0,1514,15,WEST TORONTO ST,KEELE ST,NULL,2,Etobicoke York,5,11,Mid-Block,NULL,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,D11,90,Junction Area (90),"{'type': 'Point', 'coordinates': (-79.46799, 43.669645)}"
1357155,2013,00:00.0,1800,18,JANE ST,FOXWELL ST,NULL,1,Etobicoke York,5,12,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,D12,111,Rockcliffe-Smythe (111),"{'type': 'Point', 'coordinates': (-79.493686, 43.671645)}"
1352962,2013,00:00.0,843,8,MURRIE ST,ROYAL YORK RD,NULL,3,Etobicoke York,3,22,Intersection,At Intersection,Stop Sign,Rain,Daylight,Wet,Non-Fatal Injury,SMV Other,D22,17,Mimico (17),"{'type': 'Point', 'coordinates': (-79.49409, 43.605845)}"
1357499,2013,00:00.0,1138,11,STEELES AVE E,DON MILLS RD,NULL,1,North York,17,33,Intersection,At Intersection,Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,Angle,D33,48,Hillcrest Village (48),"{'type': 'Point', 'coordinates': (-79.36079, 43.811145)}"
1357570,2013,00:00.0,1624,16,MORNINGSIDE Ave,BEATH St,NULL,1,Scarborough,NULL,43,Intersection,NULL,No Control,Rain,Daylight,Wet,Non-Fatal Injury,Sideswipe,D43,136,West Hill (136),"{'type': 'Point', 'coordinates': (-79.18869, 43.774745)}"
1357700,2013,00:00.0,1314,13,JARVIS St,QUEEN St E,NULL,1,Toronto and East York,13,51,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D51,73,Moss Park (73),"{'type': 'Point', 'coordinates': (-79.37329, 43.653745)}"
1353471,2013,00:00.0,1542,15,KINGSTON RD,CELESTE DR,NULL,1,Scarborough,24,43,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D43,136,West Hill (136),"{'type': 'Point', 'coordinates': (-79.19929, 43.757045000000005)}"
1361595,2013,00:00.0,1742,17,MCCOWAN Rd,MILNER Ave,NULL,1,Scarborough,23,42,Intersection,NULL,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Sideswipe,D42,128,Agincourt South-Malvern West (128),"{'type': 'Point', 'coordinates': (-79.256465, 43.785369)}"
1358324,2013,00:00.0,1241,12,BLOOR ST W,LANSDOWNE AVE,NULL,1,Toronto and East York,9,11,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,D11,93,Dovercourt-Wallace Emerson-Junction (93),"{'type': 'Point', 'coordinates': (-79.44269, 43.658345)}"
1353552,2013,00:00.0,2350,23,JARVIS ST,ADELAIDE ST E,NULL,1,Toronto and East York,13,51,Intersection,At Intersection,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,D51,73,Moss Park (73),"{'type': 'Point', 'coordinates': (-79.37239, 43.651545)}"
1362767,2013,00:00.0,1738,17,KING ST W,SIMCOE ST,NULL,1,Toronto and East York,10,52,Intersection,NULL,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Other,D52,76,Bay Street Corridor (76),"{'type': 'Point', 'coordinates': (-79.386096, 43.647383)}"
1354707,2013,00:00.0,1450,14,YONGE ST,GERRARD ST E,NULL,1,Toronto and East York,NULL,NULL,Mid-Block,NULL,No Control,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,D52,75,Church-Yonge Corridor (75),"{'type': 'Point', 'coordinates': (-79.38238800000002, 43.659644)}"
1361387,2013,00:00.0,1425,14,8 GARDEN PARK AVE,NULL,NULL,4,Scarborough,23,42,Mid-Block,NULL,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,D42,128,Agincourt South-Malvern West (128),"{'type': 'Point', 'coordinates': (-79.27169, 43.78524500000001)}"
1361618,2013,00:00.0,1530,15,PORTLAND ST,WESLEY ST,NULL,2,Etobicoke York,3,22,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D22,17,Mimico (17),"{'type': 'Point', 'coordinates': (-79.49649, 43.619745)}"
1361719,2013,00:00.0,948,9,WOODBINE AVE,MORTIMER AVE,NULL,1,Toronto and East York,19,54,Intersection,NULL,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,D54,60,Woodbine-Lumsden (60),"{'type': 'Point', 'coordinates': (-79.315791, 43.692645)}"
1355187,2013,00:00.0,2100,21,LAWRENCE AVE E,KINGSTON RD,NULL,1,Scarborough,24,43,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,D43,136,West Hill (136),"{'type': 'Point', 'coordinates': (-79.189586, 43.767646)}"
1345231,2013,00:00.0,920,9,ALBION RD,HIGHWAY 27  S,NULL,1,Etobicoke York,1,23,Mid-Block,NULL,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,D23,1,West Humber-Clairville (1),"{'type': 'Point', 'coordinates': (-79.60999, 43.744645)}"
1362406,2013,00:00.0,1140,11,NORTH QUEEN ST,VANSCO RD,NULL,3,Etobicoke York,3,22,Intersection,NULL,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,D22,14,Islington-City Centre West (14),"{'type': 'Point', 'coordinates': (-79.53579, 43.623545)}"
1362376,2013,00:00.0,1423,14,EGLINTON AVE W,BRAEMAR AVE,NULL,1,North York,NULL,53,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,D53,100,Yonge-Eglinton (100),"{'type': 'Point', 'coordinates': (-79.40959, 43.704345)}"
1362428,2013,00:00.0,800,8,VICTORIA PARK AVE,MUSGRAVE ST,NULL,1,Toronto and East York,NULL,NULL,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D41,122,Birchcliffe-Cliffside (122),"{'type': 'Point', 'coordinates': (-79.28699000000002, 43.687945)}"
1345002,2013,00:00.0,2041,20,SHEPPARD AVE W,KEELE ST,NULL,1,North York,6,31,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,D31,26,Downsview-Roding-CFB (26),"{'type': 'Point', 'coordinates': (-79.48639, 43.744745)}"
1344579,2013,00:00.0,852,8,DAVENPORT RD,SHAW ST,NULL,3,Toronto and East York,12,13,Intersection,At Intersection,Pedestrian Crossover,Clear,Dark,Wet,Non-Fatal Injury,Cyclist Collisions,D13,94,Wychwood (94),"{'type': 'Point', 'coordinates': (-79.42829, 43.674745)}"
1359768,2013,00:00.0,1907,19,141 BAY ST,NULL,NULL,1,Toronto and East York,10,52,Mid-Block,NULL,No Control,Clear,Dusk,Dry,Non-Fatal Injury,Rear End,D52,77,Waterfront Communities-The Island (77),"{'type': 'Point', 'coordinates': (-79.37889, 43.645445)}"
1336921,2013,00:00.0,1556,15,EGLINTON AVE E,SINNOTT RD,NULL,1,Scarborough,NULL,41,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,D41,120,Clairlea-Birchmount (120),"{'type': 'Point', 'coordinates': (-79.280689, 43.729346)}"
1337952,2013,00:00.0,1409,14,BLOOR ST W,OLD MILL TER,NULL,1,Etobicoke York,3,22,Intersection,At Intersection,Stop Sign,Snow,Daylight,Loose Snow,Non-Fatal Injury,Rear End,D22,15,Kingsway South (15),"{'type': 'Point', 'coordinates': (-79.498409, 43.650046)}"
1336008,2012,00:00.0,1830,18,ROYAL YORK RD,MIMICO AVE,NULL,3,Etobicoke York,3,22,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,D22,17,Mimico (17),"{'type': 'Point', 'coordinates': (-79.496692, 43.612246)}"
1338092,2013,00:00.0,1707,17,TAPSCOTT RD,MCLEVIN AVE,NULL,3,Scarborough,23,42,Mid-Block,At Intersection,No Control,Clear,Daylight,Wet,Non-Fatal Injury,Approaching,D42,132,Malvern (132),"{'type': 'Point', 'coordinates': (-79.22809, 43.805845)}"
1338700,2013,00:00.0,1041,10,550 BIRCHMOUNT RD,NULL,NULL,3,Scarborough,20,41,Mid-Block,NULL,No Control,Snow,Daylight,Wet,Fatal,Pedestrian Collisions,D41,120,Clairlea-Birchmount (120),"{'type': 'Point', 'coordinates': (-79.270191, 43.711943)}"
1338722,2013,00:00.0,2050,20,LAWRENCE AVE W,CULFORD RD,NULL,1,Etobicoke York,5,12,Mid-Block,NULL,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,D12,29,Maple Leaf (29),"{'type': 'Point', 'coordinates': (-79.48519, 43.706945)}"
1340588,2013,00:00.0,2055,20,15 KENFIN AVE,NULL,NULL,4,Scarborough,22,42,Intersection,NULL,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Unattended Vehicle,D42,117,L'Amoreaux (117),"{'type': 'Point', 'coordinates': (-79.29449, 43.800112)}"
1338947,2013,00:00.0,1850,18,SPADINA RD,LONSDALE RD,NULL,3,Toronto and East York,12,NULL,Mid-Block,NULL,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,D13,96,Casa Loma (96),"{'type': 'Point', 'coordinates': (-79.41259, 43.688145)}"
1339180,2013,00:00.0,1045,10,DUNDAS ST W,SHERIDAN AVE,NULL,3,Toronto and East York,9,11,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,D11,84,Little Portugal (84),"{'type': 'Point', 'coordinates': (-79.43368800000002, 43.649745)}"
1347268,2013,00:00.0,1445,14,DUNDAS ST W,PRINCE EDWARD DR N,NULL,1,Etobicoke York,NULL,22,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,D22,9,Edenbridge-Humber Valley (9),"{'type': 'Point', 'coordinates': (-79.51049, 43.660645)}"
1347299,2013,00:00.0,1830,18,DUFFERIN St,GIBSON St,NULL,1,Toronto and East York,NULL,13,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,D13,107,Oakwood Village (107),"{'type': 'Point', 'coordinates': (-79.44809, 43.690345)}"
1340591,2013,00:00.0,1626,16,QUEEN ST W,AUGUSTA AVE,NULL,1,Toronto and East York,10,14,Intersection,NULL,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,D14,77,Waterfront Communities-The Island (77),"{'type': 'Point', 'coordinates': (-79.399661, 43.648055)}"
1340810,2013,00:00.0,838,8,TAPSCOTT RD,FINCH Ave E,NULL,3,Scarborough,23,42,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,D42,131,Rouge (131),"{'type': 'Point', 'coordinates': (-79.23709000000001, 43.814245)}"
1347684,2013,00:00.0,208,2,QUEEN ST E,WAVERLEY RD,NULL,3,Toronto and East York,19,55,Intersection,NULL,No Control,Clear,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,D55,63,The Beaches (63),"{'type': 'Point', 'coordinates': (-79.30089, 43.669845)}"
1347681,2013,00:00.0,1030,10,HIGHWAY 427 C  N,BURNHAMTHORPE RD,NULL,NULL,Etobicoke York,2,22,Mid-Block,NULL,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D22,14,Islington-City Centre West (14),"{'type': 'Point', 'coordinates': (-79.56409, 43.648545)}"
1347790,2013,00:00.0,2103,21,CASTLEFIELD AVE,ROSELAWN AVE,NULL,2,North York,8,13,Mid-Block,NULL,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,D13,108,Briar Hill-Belgravia (108),"{'type': 'Point', 'coordinates': (-79.44969, 43.700545)}"
1348049,2013,00:00.0,916,9,YONGE ST,WELLINGTON ST W,NULL,1,Toronto and East York,13,NULL,Intersection,At Intersection,Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,D52,75,Church-Yonge Corridor (75),"{'type': 'Point', 'coordinates': (-79.37739, 43.647845)}"
1341806,2013,00:00.0,858,8,JANE St,DALRYMPLE Dr,NULL,1,Etobicoke York,5,12,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,D12,111,Rockcliffe-Smythe (111),"{'type': 'Point', 'coordinates': (-79.49609, 43.677245)}"
1348204,2013,00:00.0,755,7,KENNEDY RD,TRANSWAY CRES,NULL,1,Scarborough,20,41,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D41,124,Kennedy Park (124),"{'type': 'Point', 'coordinates': (-79.26759, 43.731245)}"
1348211,2013,00:00.0,924,9,SHEPPARD AVE W,FAYWOOD BLVD,NULL,1,North York,6,32,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D32,33,Clanton Park (33),"{'type': 'Point', 'coordinates': (-79.45189, 43.752645)}"
1349360,2013,00:00.0,730,7,15 BESSARION Rd,AT #15,NULL,4,North York,17,33,Mid-Block,NULL,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,D33,52,Bayview Village (52),"{'type': 'Point', 'coordinates': (-79.37599, 43.766845)}"
1348740,2013,00:00.0,2119,21,ST CLAIR AVE W,KEELE ST,NULL,1,Etobicoke York,5,NULL,Mid-Block,NULL,No Control,Rain,Dark,Wet,Non-Fatal Injury,SMV Other,D11,90,Junction Area (90),"{'type': 'Point', 'coordinates': (-79.46849, 43.67234500000001)}"
1348815,2013,00:00.0,1426,14,ROGERS Rd,KEELE St,NULL,1,Etobicoke York,5,12,Intersection,NULL,Traffic Signal,Clear,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,D12,110,Keelesdale-Eglinton West (110),"{'type': 'Point', 'coordinates': (-79.47159, 43.682145)}"
1343587,2013,00:00.0,1039,10,DON MILLS RD W,GOODVIEW RD,NULL,1,North York,17,33,Mid-Block,At Intersection,No Control,Clear,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,D33,47,Don Valley Village (47),"{'type': 'Point', 'coordinates': (-79.35199, 43.781345)}"
1360225,2013,00:00.0,340,3,QUEEN ST W,SPADINA AVE,NULL,1,Toronto and East York,10,14,Intersection,NULL,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,D14,77,Waterfront Communities-The Island (77),"{'type': 'Point', 'coordinates': (-79.397273, 43.648554)}"
1368998,2013,00:00.0,2122,21,KEELE ST,WILSON AVE,NULL,1,North York,6,31,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Turning Movement,D31,26,Downsview-Roding-CFB (26),"{'type': 'Point', 'coordinates': (-79.48209, 43.726645)}"
1368851,2013,00:00.0,836,8,STEELES AVE E,MIDLAND AVE,NULL,1,Scarborough,NULL,42,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,D42,130,Milliken (130),"{'type': 'Point', 'coordinates': (-79.29729, 43.825945)}"
1360626,2013,00:00.0,1157,11,O CONNOR DR,RIVERCOURT BLVD,NULL,1,Toronto and East York,14,54,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,D54,58,Old East York (58),"{'type': 'Point', 'coordinates': (-79.34819, 43.693645)}"
1369816,2013,00:00.0,640,6,SPADINA RD,DUPONT ST,NULL,1,Toronto and East York,11,NULL,Intersection,At Intersection,Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,Approaching,D53,95,Annex (95),"{'type': 'Point', 'coordinates': (-79.40709000000001, 43.674845)}"
1369849,2013,00:00.0,751,7,ADELAIDE ST E,SHERBOURNE ST,NULL,1,Toronto and East York,13,51,Mid-Block,NULL,No Control,Rain,Daylight,Wet,Non-Fatal Injury,Cyclist Collisions,D51,73,Moss Park (73),"{'type': 'Point', 'coordinates': (-79.36799, 43.652245)}"
1386391,2013,00:00.0,1430,14,DANFORTH Road,MACK Aven,NULL,3,Scarborough,20,41,Intersection,NULL,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,D41,121,Oakridge (121),"{'type': 'Point', 'coordinates': (-79.27269, 43.700145)}"
1369859,2013,00:00.0,950,9,BATHURST ST,FAIRLAWN AVE,NULL,1,North York,8,32,Intersection,At Intersection,Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,D32,39,Bedford Park-Nortown (39),"{'type': 'Point', 'coordinates': (-79.43109000000001, 43.725045)}"
1370441,2013,00:00.0,1230,12,754 ROYAL YORK RD,NULL,NULL,3,Etobicoke York,3,22,Mid-Block,NULL,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,D22,16,Stonegate-Queensway (16),"{'type': 'Point', 'coordinates': (-79.50669, 43.636045)}"
1370737,2013,00:00.0,17,0,DUPONT ST,LANSDOWNE AVE,NULL,1,Toronto and East York,9,11,Intersection,NULL,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Rear End,D11,93,Dovercourt-Wallace Emerson-Junction (93),"{'type': 'Point', 'coordinates': (-79.44649, 43.666745)}"
1361068,2013,00:00.0,1336,13,83 MARKHAM ST,NULL,NULL,4,Toronto and East York,10,14,Mid-Block,NULL,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D14,81,Trinity-Bellwoods (81),"{'type': 'Point', 'coordinates': (-79.40652, 43.650237)}"
1361069,2013,00:00.0,1924,19,MCCOWAN RD,KINGSTON RD,NULL,1,Scarborough,20,43,Intersection,NULL,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D43,123,Cliffcrest (123),"{'type': 'Point', 'coordinates': (-79.23239, 43.725145)}"
1361106,2013,00:00.0,616,6,JOE SHUSTER  WAY,KING ST W,NULL,4,Toronto and East York,10,14,Mid-Block,NULL,No Control,Rain,Daylight,Wet,Fatal,SMV Other,D14,85,South Parkdale (85),"{'type': 'Point', 'coordinates': (-79.423999, 43.640547000000005)}"
1371165,2013,00:00.0,1516,15,KENNEDY RD,CARDWELL AVE,NULL,1,Scarborough,22,42,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D42,128,Agincourt South-Malvern West (128),"{'type': 'Point', 'coordinates': (-79.289493, 43.785746)}"
1371162,2013,00:00.0,1525,15,ISLINGTON AVE,401 C E ISLINGTON N RAMP E,NULL,1,Etobicoke York,1,23,Mid-Block,NULL,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D23,6,Kingsview Village-The Westway (6),"{'type': 'Point', 'coordinates': (-79.55189, 43.708445)}"
1361161,2013,00:00.0,1923,19,KEELE ST,DONALD AVE,NULL,1,Etobicoke York,5,12,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D12,110,Keelesdale-Eglinton West (110),"{'type': 'Point', 'coordinates': (-79.47279, 43.684945)}"
