ACCNUM,YEAR,DATE,TIME,HOUR,STREET1,STREET2,OFFSET,ROAD_CLASS,DISTRICT,WARDNUM,DIVISION,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,POLICE_DIVISION,HOOD_ID,NEIGHBOURHOOD,geometry
1912366,2020,00:00.0,1410,14,BATHURST ST,LAWRENCE AVE W,3 m South of,1,Toronto and East York,10,14,Intersection,At Intersection,Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,D14,77,Waterfront Communities-The Island (77),"{'type': 'Point', 'coordinates': (-79.403202, 43.645183)}"
1940250,2020,00:00.0,2250,22,MCCOWAN RD,BRIDLEY DR,163 m North of,1,Scarborough,23,42,Mid-Block,Non Intersection,No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,SMV Other,D42,129,Agincourt North (129),"{'type': 'Point', 'coordinates': (-79.270336, 43.814208)}"
1915138,2020,00:00.0,2330,23,COLLEGE ST,RUSHOLME PARK CRES,NULL,1,Toronto and East York,9,14,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Fatal,SMV Unattended Vehicle,D14,84,Little Portugal (84),"{'type': 'Point', 'coordinates': (-79.430248, 43.652789)}"
1927144,2020,00:00.0,1759,17,JANE STREET AND GOLDWIN AVENUE,JANE ST,5 m West of,1,Etobicoke York,5,12,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,D12,115,Mount Dennis (115),"{'type': 'Point', 'coordinates': (-79.500355, 43.689277)}"
1931088,2020,00:00.0,1120,11,WOODBINE AVE,KINGSTON RD,NULL,1,Toronto and East York,19,55,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,D55,63,The Beaches (63),"{'type': 'Point', 'coordinates': (-79.307903, 43.673923)}"
1934074,2020,00:00.0,2030,20,Kingston Road,Glen Everest Road,NULL,1,Scarborough,20,41,Intersection,At Intersection,Traffic Signal,Clear,"Dusk, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,D41,122,Birchcliffe-Cliffside (122),"{'type': 'Point', 'coordinates': (-79.256755, 43.697543)}"
1942115,2020,00:00.0,906,9,ALBION RD,MARTIN GROVE RD,4 m West of,1,Etobicoke York,1,23,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D23,2,Mount Olive-Silverstone-Jamestown (2),"{'type': 'Point', 'coordinates': (-79.594181, 43.74192)}"
1945158,2020,00:00.0,1622,16,RUNNYMEDE RD,DUNDAS ST W,100 m South of,NULL,NULL,NULL,NULL,Mid-Block,Non Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,D11,90,Junction Area (90),"{'type': 'Point', 'coordinates': (-79.482525, 43.664725)}"
1957732,2020,00:00.0,1227,12,22 ELKHORN DR,NULL,NULL,4,North York,17,33,Mid-Block,Non Intersection,No Control,Rain,Daylight,Wet,Fatal,Pedestrian Collisions,D33,52,Bayview Village (52),"{'type': 'Point', 'coordinates': (-79.38105300000001, 43.770354)}"
9002262069,2019,00:00.0,1245,12,KENNEDY RD,BRIGSTOCK RD,8 m South of,1,Scarborough,21,41,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,D41,126,Dorset Park (126),"{'type': 'Point', 'coordinates': (-79.279422, 43.761225)}"
2112681,2020,00:00.0,958,9,KINGSTON RD,PINE RIDGE DR,NULL,1,Scarborough,20,43,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,D43,123,Cliffcrest (123),"{'type': 'Point', 'coordinates': (-79.226429, 43.730292)}"
37330,2020,00:00.0,1555,15,DUNDAS ST W,SHERIDAN AVE,6 m South of,3,Toronto East York,9,11,Intersection,At Intersection,Traffic Signal,Clear,"Dawn, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,D11,84,Little Portugal (84),"{'type': 'Point', 'coordinates': (-79.43365, 43.649699)}"
2115460,2020,00:00.0,1720,17,MILITARY TL,ELLESMERE RD,NULL,1,Scarborough,24,43,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,D43,135,Morningside (135),"{'type': 'Point', 'coordinates': (-79.21711300000001, 43.77975)}"
45664,2020,00:00.0,1850,18,EGLINTON AVE E,PHARMACY AVE,NULL,1,Scarborough,NULL,41,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Turning Movement,D41,120,Clairlea-Birchmount (120),"{'type': 'Point', 'coordinates': (-79.297481, 43.725577)}"
56815,2020,00:00.0,1100,11,MARTIN GROVE RD,BELFIELD RD,NULL,1,Etobicoke York,1,23,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,D23,1,West Humber-Clairville (1),"{'type': 'Point', 'coordinates': (-79.575588, 43.701876)}"
66893,2020,00:00.0,1721,17,CRUIKSHANK AVE,CARLAW AVE,NULL,2,Toronto and East York,14,54,Intersection,At Intersection,Stop Sign,Rain,"Dark, artificial",Wet,Non-Fatal Injury,SMV Other,D54,67,Playter Estates-Danforth (67),"{'type': 'Point', 'coordinates': (-79.348178, 43.680693)}"
73153,2020,00:00.0,1625,16,FORT YORK BLVD,DAN LECKIE WAY,NULL,4,Toronto East York,10,14,Intersection,Intersection Related,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,SMV Other,D14,77,Waterfront Communities-The Island (77),"{'type': 'Point', 'coordinates': (-79.39796, 43.639331)}"
74293,2020,00:00.0,1938,19,WESTON RD,DORA SPENCER RD,NULL,3,Etobicoke York,5,12,Intersection,At Intersection,No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,D12,115,Mount Dennis (115),"{'type': 'Point', 'coordinates': (-79.502734, 43.691981)}"
75272,2020,00:00.0,2257,22,ST CLAIR AVE W,GLENHOLME AVE,NULL,1,Etobicoke York,9,13,Intersection,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,D13,92,Corso Italia-Davenport (92),"{'type': 'Point', 'coordinates': (-79.438586, 43.678935)}"
