ACCNUM,YEAR,DATE,TIME,HOUR,STREET1,STREET2,OFFSET,ROAD_CLASS,DISTRICT,WARDNUM,DIVISION,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,POLICE_DIVISION,HOOD_ID,NEIGHBOURHOOD,collision_lat,collision_long,red_light_lat,red_light_long,right_light_camera,LINEAR_NAME_FULL_1,LINEAR_NAME_FULL_2,ACTIVATION_DATE
1385893,2013,00:00.0,2014,20,SHALLMAR BLVD,BATHURST ST,NULL,1,North York,8,NULL,Intersection,NULL,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,D53,102,Forest Hill North (102),-79.4261,43.7042,NULL,NULL,N,NULL,NULL,NULL
899537,2006,00:00.0,2205,22,JANE ST,EGLINTON AVE W,NULL,1,Etobicoke York,5,12,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Sideswipe,D12,115,Mount Dennis (115),-79.4987,43.6844,NULL,NULL,N,NULL,NULL,NULL
905456,2006,00:00.0,1615,16,EGLINTON AVE W,ROYAL YORK RD,NULL,1,Etobicoke York,2,NULL,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Other,Non-Fatal Injury,Turning Movement,D22,8,Humber Heights-Westmount (8),-79.5265,43.6823,NULL,NULL,N,NULL,NULL,NULL
905761,2006,00:00.0,2328,23,ROSEDALE VALLEY RD,BAYVIEW AVE,NULL,3,Toronto and East York,NULL,51,Mid-Block,NULL,No Control,Clear,Dark,Dry,Fatal,SMV Other,D51,71,Cabbagetown-South St.James Town (71),-79.366,43.6716,NULL,NULL,N,NULL,NULL,NULL
898163,2006,00:00.0,1743,17,STEELES AVE E,WARDEN AVE,NULL,1,Scarborough,22,42,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,D42,116,Steeles (116),-79.3243,43.8196,NULL,NULL,N,NULL,NULL,NULL
894030,2006,00:00.0,2100,21,BLACK CREEK DR,LAWRENCE AVE W,NULL,1,Etobicoke York,5,12,Intersection,NULL,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Rear End,D12,30,Brookhaven-Amesbury (30),-79.494,43.7049,NULL,NULL,N,NULL,NULL,NULL
909657,2006,00:00.0,510,5,FINCH AVE W,SENTINEL RD,NULL,1,Etobicoke York,7,31,Intersection,NULL,Traffic Signal,Clear,"Dawn, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,D31,27,York University Heights (27),-79.4999,43.761,NULL,NULL,N,NULL,NULL,NULL
907762,2006,00:00.0,1024,10,REXDALE BLVD,BERGAMOT AVE,NULL,1,Etobicoke York,1,23,Intersection,At Intersection,Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,Turning Movement,D23,4,Rexdale-Kipling (4),-79.5596,43.7133,NULL,NULL,N,NULL,NULL,NULL
912859,2006,00:00.0,1823,18,LAKE SHORE BLVD W,BATHURST ST,NULL,1,Toronto and East York,10,14,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,D14,77,Waterfront Communities-The Island (77),-79.3995,43.6364,NULL,NULL,N,NULL,NULL,NULL
916791,2006,00:00.0,319,3,MIDLAND AVE,LAWRENCE AVE E,NULL,1,Scarborough,21,41,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,D41,127,Bendale (127),-79.265,43.7515,-79.265,43.7515,Y,Lawrence Ave E,Midland Ave,2021-09-30
4002168339,2014,00:00.0,837,8,BREMNER BLVD,GRAND TRUNK CRES,NULL,3,Toronto and East York,10,52,Intersection,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,D52,77,Waterfront Communities-The Island (77),-79.3827,43.6426,NULL,NULL,N,NULL,NULL,NULL
882912,2006,00:00.0,904,9,WESTON RD,CORONADO CRT,NULL,1,Etobicoke York,7,31,Mid-Block,NULL,Pedestrian Crossover,Strong wind,Daylight,Ice,Non-Fatal Injury,Pedestrian Collisions,D31,22,Humbermede (22),-79.5398,43.741,NULL,NULL,N,NULL,NULL,NULL
917941,2006,00:00.0,2230,22,ROGERS RD,MCROBERTS AVE,NULL,3,Toronto and East York,9,13,Mid-Block,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,D13,109,Caledonia-Fairbank (109),-79.4559,43.6832,NULL,NULL,N,NULL,NULL,NULL
927677,2006,00:00.0,1845,18,562 BLOOR W ST W,NULL,NULL,1,Toronto and East York,11,14,Mid-Block,NULL,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,D14,95,Annex (95),-79.4115,43.665,NULL,NULL,N,NULL,NULL,NULL
884090,2006,00:00.0,705,7,BATHURST ST,DUNDAS ST W,60 NORTH OF,1,Toronto and East York,11,14,Mid-Block,NULL,No Control,Other,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,D14,78,Kensington-Chinatown (78),-79.4062,43.6528,NULL,NULL,N,NULL,NULL,NULL
885782,2006,00:00.0,1940,19,DUFFERIN ST,SYLVAN AVE,NULL,1,Toronto and East York,9,NULL,Mid-Block,At Intersection,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,D11,83,Dufferin Grove (83),-79.4335,43.6551,NULL,NULL,N,NULL,NULL,NULL
911228,2006,00:00.0,1729,17,LAKE SHORE BLVD E,CHERRY ST,NULL,1,Toronto and East York,10,51,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,D51,77,Waterfront Communities-The Island (77),-79.3547,43.6481,NULL,NULL,N,NULL,NULL,NULL
921181,2006,00:00.0,1836,18,3279 KINGSTON RD,NULL,NULL,1,Scarborough,20,43,Mid-Block,NULL,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,D43,139,Scarborough Village (139),-79.2251,43.7315,NULL,NULL,N,NULL,NULL,NULL
886230,2006,00:00.0,1829,18,MIDLAND AVE,GOODLAND GT,NULL,1,Scarborough,NULL,42,Intersection,At Intersection,No Control,Clear,Dusk,Dry,Fatal,Pedestrian Collisions,D42,128,Agincourt South-Malvern West (128),-79.2755,43.7793,NULL,NULL,N,NULL,NULL,NULL
884326,2006,00:00.0,1800,18,YONGE ST,CUMBERLAND ST,NULL,1,Toronto and East York,11,53,Intersection,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,D53,98,Rosedale-Moore Park (98),-79.3871,43.6711,NULL,NULL,N,NULL,NULL,NULL
895926,2006,00:00.0,230,2,1340 LESLIE ST,NULL,NULL,1,North York,NULL,33,Mid-Block,NULL,No Control,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,D33,42,Banbury-Don Mills (42),-79.3555,43.7327,NULL,NULL,N,NULL,NULL,NULL
924979,2006,00:00.0,1045,10,QUEEN ST W,JAMESON AVE,NULL,1,Toronto and East York,4,NULL,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D14,86,Roncesvalles (86),-79.4372,43.6404,NULL,NULL,N,NULL,NULL,NULL
4002835706,2014,00:00.0,1736,17,JANE ST,EGLINTON AVE W,NULL,1,Etobicoke York,5,12,Intersection,Intersection Related,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D12,115,Mount Dennis (115),-79.4988,43.6844,NULL,NULL,N,NULL,NULL,NULL
920690,2006,00:00.0,1928,19,F G GARDINER XY  W,BATHURST ST,NULL,NULL,Toronto and East York,10,14,Mid-Block,NULL,No Control,Clear,Daylight,Dry,Fatal,SMV Other,D14,82,Niagara (82),-79.4038,43.6379,NULL,NULL,N,NULL,NULL,NULL
894423,2006,00:00.0,1435,14,2423 KEELE ST,NULL,NULL,1,Etobicoke York,5,12,Mid-Block,NULL,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Unattended Vehicle,D12,29,Maple Leaf (29),-79.4784,43.7106,NULL,NULL,N,NULL,NULL,NULL
911973,2006,00:00.0,1700,17,SHEPPARD AVE W,FAYWOOD BLVD,NULL,1,North York,6,32,Intersection,NULL,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D32,33,Clanton Park (33),-79.4518,43.7526,NULL,NULL,N,NULL,NULL,NULL
922700,2006,00:00.0,1405,14,MARKHAM RD,STEELES AVE E,NULL,1,Scarborough,23,42,Intersection,NULL,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,D42,131,Rouge (131),-79.2511,43.8365,-79.2511,43.8365,Y,Steeles Ave E,Markham Rd,2021-06-30
936387,2006,00:00.0,2215,22,RICHMOND ST E,BERTI ST,NULL,1,Toronto and East York,13,51,Intersection,NULL,No Control,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,D51,75,Church-Yonge Corridor (75),-79.3763,43.6522,NULL,NULL,N,NULL,NULL,NULL
917225,2006,00:00.0,203,2,MOUNT PLEASANT RD,SOUTH DR,NULL,1,Toronto and East York,11,53,Mid-Block,NULL,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,D53,98,Rosedale-Moore Park (98),-79.3805,43.6776,NULL,NULL,N,NULL,NULL,NULL
917572,2006,00:00.0,2150,21,DANFORTH AVE,LUTTRELL AVE,NULL,1,Toronto and East York,19,NULL,Mid-Block,NULL,No Control,Clear,Dark,Dry,Non-Fatal Injury,Rear End,D54,61,Taylor-Massey (61),-79.293,43.6901,NULL,NULL,N,NULL,NULL,NULL
904614,2006,00:00.0,2314,23,SHEPPARD AVE E,BROWNSPRING RD,NULL,1,Scarborough,23,42,Mid-Block,NULL,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,D42,128,Agincourt South-Malvern West (128),-79.2596,43.7894,NULL,NULL,N,NULL,NULL,NULL
930890,2006,00:00.0,2136,21,OLD FINCH AVE,REESOR RD,NULL,2,Scarborough,25,42,Mid-Block,NULL,No Control,Clear,Dark,Dry,Fatal,SMV Other,D42,131,Rouge (131),-79.1905,43.8247,NULL,NULL,N,NULL,NULL,NULL
951700,2007,00:00.0,800,8,LAKE SHORE BLVD W,BRITISH COLUMBIA RD,NULL,1,Toronto and East York,10,14,Mid-Block,NULL,No Control,Clear,Daylight,Loose Snow,Non-Fatal Injury,SMV Other,D14,82,Niagara (82),-79.4273,43.6306,NULL,NULL,N,NULL,NULL,NULL
948322,2007,00:00.0,1450,14,KIPLING AVE,WIDDICOMBE HILL,NULL,1,Etobicoke York,2,23,Intersection,NULL,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,D23,7,Willowridge-Martingrove-Richview (7),-79.5516,43.6789,NULL,NULL,N,NULL,NULL,NULL
916979,2006,00:00.0,122,1,F G GARDINER XY E  E,LAKESHORE W GARDINER RAMP E,NULL,1,Toronto and East York,4,11,Mid-Block,NULL,No Control,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,D11,85,South Parkdale (85),-79.4716,43.6341,NULL,NULL,N,NULL,NULL,NULL
917154,2006,00:00.0,130,1,JANE ST,FOXWELL ST,NULL,1,Etobicoke York,5,12,Mid-Block,NULL,No Control,Rain,Dark,Wet,Fatal,Pedestrian Collisions,D12,111,Rockcliffe-Smythe (111),-79.4939,43.6721,NULL,NULL,N,NULL,NULL,NULL
935134,2006,00:00.0,1916,19,BATHURST ST,SARANAC BLVD,NULL,1,North York,8,32,Intersection,At Intersection,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,D32,39,Bedford Park-Nortown (39),-79.4306,43.723,NULL,NULL,N,NULL,NULL,NULL
938930,2006,00:00.0,1500,15,220 GREYABBEY TRL,NULL,NULL,4,Scarborough,25,43,Mid-Block,NULL,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,D43,140,Guildwood (140),-79.1793,43.7532,NULL,NULL,N,NULL,NULL,NULL
903114,2006,00:00.0,2044,20,THE QUEENSWAY,NORTH QUEEN ST,NULL,1,Etobicoke York,3,22,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Turning Movement,D22,14,Islington-City Centre West (14),-79.5561,43.6142,-79.5561,43.6142,Y,The Queensway,North Queen St,2009-04-02
142454660,2014,00:00.0,1024,10,MCNICOLL AVE,PHARMACY AVE,NULL,3,Scarborough,22,42,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Angle,D42,116,Steeles (116),-79.3307,43.8041,-79.3307,43.8041,Y,Pharmacy Ave,McNicoll Ave,2017-03-24
946225,2006,00:00.0,1610,16,DUNDAS ST E,BROADVIEW AVE,NULL,1,Toronto and East York,14,55,Intersection,NULL,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,D55,70,South Riverdale (70),-79.3513,43.6624,NULL,NULL,N,NULL,NULL,NULL
4001997279,2014,00:00.0,2244,22,WESTON RD,MAINSHEP RD,NULL,1,Etobicoke York,7,31,Intersection,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Rear End,D31,23,Pelmo Park-Humberlea (23),-79.5374,43.7314,NULL,NULL,N,NULL,NULL,NULL
4002285719,2014,00:00.0,2158,21,WESTON RD,AVON CRES,NULL,1,Etobicoke York,5,12,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,D12,111,Rockcliffe-Smythe (111),-79.4764,43.6812,NULL,NULL,N,NULL,NULL,NULL
4002291464,2014,00:00.0,1930,19,92 DUNCANWOODS DR,NULL,NULL,2,Etobicoke York,7,31,Mid-Block,At/Near Private Drive,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,D31,21,Humber Summit (21),-79.5628,43.7506,NULL,NULL,N,NULL,NULL,NULL
4002581656,2014,00:00.0,1120,11,GUILDWOOD PKWY,ROWATSON RD,NULL,3,Scarborough,24,43,Intersection,At/Near Private Drive,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,D43,140,Guildwood (140),-79.2012,43.747,NULL,NULL,N,NULL,NULL,NULL
4002589073,2014,00:00.0,1501,15,BATHURST ST,SOUTHBOURNE AVE,NULL,1,North York,6,32,Intersection,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D32,38,Lansing-Westgate (38),-79.4342,43.7384,NULL,NULL,N,NULL,NULL,NULL
934337,2006,00:00.0,1053,10,STEELES AVE E,TOWNSEND RD,NULL,1,North York,17,33,Intersection,NULL,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D33,48,Hillcrest Village (48),-79.3574,43.8119,NULL,NULL,N,NULL,NULL,NULL
942726,2006,00:00.0,2102,21,DUFFERIN St,LINDSEY Ave,NULL,1,Toronto and East York,9,NULL,Intersection,NULL,No Control,Clear,Dark,Dry,Non-Fatal Injury,Rear End,D11,83,Dufferin Grove (83),-79.4329,43.6535,NULL,NULL,N,NULL,NULL,NULL
939458,2006,00:00.0,720,7,WILSON AVE,BATHURST ST,NULL,1,North York,6,32,Intersection,NULL,No Control,Rain,Dark,Wet,Fatal,Pedestrian Collisions,D32,38,Lansing-Westgate (38),-79.434,43.7373,-79.434,43.7373,Y,Bathurst St,Wilson Ave,2021-06-29
4001729186,2014,00:00.0,615,6,DON VALLEY PARKWAY  S,GERRARD ST E,NULL,3,Toronto and East York,14,55,Mid-Block,Non Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,D55,70,South Riverdale (70),-79.3558,43.6643,NULL,NULL,N,NULL,NULL,NULL
4002596710,2014,00:00.0,1630,16,DUNDAS ST E,BROADVIEW AVE,NULL,1,Toronto and East York,14,55,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,D55,70,South Riverdale (70),-79.3513,43.6624,NULL,NULL,N,NULL,NULL,NULL
